class,subject,chapters_in_config,chapters_audited,chunks_total,chunks_flagged,pct_flagged,salvageable
classFour,buddhist_religion,5.0,3,139,49,35.25,Non-salvageable
classFour,christian_religion,5.0,5,288,94,32.64,Non-salvageable
classFour,english,18.0,18,179,101,56.42,Non-salvageable
classFour,hindu_religion,5.0,5,218,92,42.2,Non-salvageable
classFour,islam,5.0,4,172,42,24.42,Salvageable
classFour,math,11.0,10,262,185,70.61,Non-salvageable
classFour,science,12.0,7,221,111,50.23,Non-salvageable
classNineTen,accounting,11.0,10,721,172,23.86,Salvageable
classNineTen,agriculture,7.0,5,354,47,13.28,Salvageable
classNineTen,arabic,12.0,12,425,326,76.71,Non-salvageable
classNineTen,arts_and_crafts,6.0,6,416,123,29.57,Salvageable
classNineTen,bangla,58.0,57,989,200,20.22,Salvageable
classNineTen,bangla_grammar,49.0,48,817,195,23.87,Salvageable
classNineTen,bangla_rapidreader,5.0,5,508,12,2.36,Salvageable
classNineTen,bgs,14.0,14,1216,305,25.08,Salvageable
classNineTen,biology_secondary,14.0,13,923,545,59.05,Non-salvageable
classNineTen,buddhist_religion,11.0,10,590,83,14.07,Salvageable
classNineTen,business_entrepreneurship,10.0,10,633,205,32.39,Non-salvageable
classNineTen,career_education,3.0,2,157,35,22.29,Salvageable
classNineTen,chemistry_secondary,12.0,10,970,514,52.99,Non-salvageable
classNineTen,christian_religion,15.0,14,621,93,14.98,Salvageable
classNineTen,civics,10.0,9,605,70,11.57,Salvageable
classNineTen,economics,10.0,10,693,238,34.34,Non-salvageable
classNineTen,english,15.0,15,789,106,13.43,Salvageable
classNineTen,english_grammar,21.0,20,902,124,13.75,Salvageable
classNineTen,finance,12.0,8,333,113,33.93,Non-salvageable
classNineTen,geography,13.0,11,697,350,50.22,Non-salvageable
classNineTen,higher_math,14.0,12,948,669,70.57,Non-salvageable
classNineTen,hindu_religion,10.0,9,533,107,20.08,Salvageable
classNineTen,history,11.0,9,782,94,12.02,Salvageable
classNineTen,home_science,13.0,13,905,220,24.31,Salvageable
classNineTen,ict,3.0,2,393,183,46.56,Non-salvageable
classNineTen,islam,4.0,4,791,93,11.76,Salvageable
classNineTen,math,17.0,14,1009,595,58.97,Non-salvageable
classNineTen,music,4.0,4,539,133,24.68,Salvageable
classNineTen,pali,11.0,10,595,41,6.89,Salvageable
classNineTen,physical_education,8.0,7,348,107,30.75,Non-salvageable
classNineTen,physics_secondary,12.0,10,908,333,36.67,Non-salvageable
classNineTen,sanskrit,24.0,22,484,150,30.99,Non-salvageable
classNineTen,science,11.0,9,803,258,32.13,Non-salvageable
classOne,bangla,54.0,52,56,28,50.0,Non-salvageable
classOne,english,5.0,5,49,41,83.67,Non-salvageable
classOne,math,18.0,18,57,53,92.98,Non-salvageable
classSeven,agriculture,6.0,5,408,65,15.93,Salvageable
classSeven,arabic,7.0,7,64,55,85.94,Non-salvageable
classSeven,arts_and_crafts,7.0,7,168,51,30.36,Non-salvageable
classSeven,bangla,26.0,26,325,69,21.23,Salvageable
classSeven,bangla_grammar,14.0,14,485,109,22.47,Salvageable
classSeven,bangla_rapidreader,14.0,14,276,32,11.59,Salvageable
classSeven,bgs,11.0,11,489,94,19.22,Salvageable
classSeven,buddhist_religion,10.0,10,443,95,21.44,Salvageable
classSeven,christian_religion,10.0,10,386,156,40.41,Non-salvageable
classSeven,english,9.0,9,395,60,15.19,Salvageable
classSeven,english_grammar,19.0,18,551,80,14.52,Salvageable
classSeven,hindu_religion,8.0,8,362,93,25.69,Salvageable
classSeven,home_science,15.0,15,601,250,41.6,Non-salvageable
classSeven,ict,5.0,4,222,111,50.0,Non-salvageable
classSeven,islam,5.0,4,416,116,27.88,Salvageable
classSeven,math,11.0,11,571,241,42.21,Non-salvageable
classSeven,music,3.0,3,223,39,17.49,Salvageable
classSeven,pali,7.0,7,335,77,22.99,Salvageable
classSeven,physical_education,4.0,3,155,59,38.06,Non-salvageable
classSeven,sanskrit,9.0,9,188,91,48.4,Non-salvageable
classSeven,science,14.0,13,650,276,42.46,Non-salvageable
classSeven,work_and_life,3.0,3,197,29,14.72,Salvageable
classSix,agriculture,6.0,6,368,97,26.36,Salvageable
classSix,arabic,12.0,12,60,46,76.67,Non-salvageable
classSix,arts_and_crafts,7.0,7,149,41,27.52,Salvageable
classSix,bangla,20.0,20,357,101,28.29,Salvageable
classSix,bangla_grammar,14.0,14,404,96,23.76,Salvageable
classSix,bangla_rapidreader,11.0,11,237,30,12.66,Salvageable
classSix,bgs,8.0,8,248,69,27.82,Salvageable
classSix,buddhist_religion,10.0,10,404,100,24.75,Salvageable
classSix,christian_religion,10.0,10,431,79,18.33,Salvageable
classSix,english,18.0,18,333,71,21.32,Salvageable
classSix,english_grammar,10.0,10,319,85,26.65,Salvageable
classSix,hindu_religion,9.0,9,343,47,13.7,Salvageable
classSix,home_science,13.0,13,410,116,28.29,Salvageable
classSix,ict,5.0,5,255,80,31.37,Non-salvageable
classSix,islam,5.0,4,379,73,19.26,Salvageable
classSix,math,8.0,7,331,150,45.32,Non-salvageable
classSix,music,4.0,4,218,25,11.47,Salvageable
classSix,pali,11.0,9,181,23,12.71,Salvageable
classSix,physical_education,5.0,4,185,55,29.73,Salvageable
classSix,sanskrit,12.0,11,114,61,53.51,Non-salvageable
classSix,science,14.0,12,481,112,23.28,Salvageable
classSix,work_and_life,3.0,3,194,28,14.43,Salvageable
classThree,bangla,30.0,30,153,70,45.75,Non-salvageable
classThree,bgs,13.0,13,154,84,54.55,Non-salvageable
classThree,buddhist_religion,9.0,9,184,90,48.91,Non-salvageable
classThree,christian_religion,5.0,5,237,109,45.99,Non-salvageable
classThree,english,8.0,8,161,89,55.28,Non-salvageable
classThree,hindu_religion,5.0,5,156,54,34.62,Non-salvageable
classThree,islam,5.0,5,180,87,48.33,Non-salvageable
classThree,math,13.0,12,216,163,75.46,Non-salvageable
classThree,science,12.0,10,188,114,60.64,Non-salvageable
classTwo,bangla,30.0,30,65,49,75.38,Non-salvageable
classTwo,english,10.0,8,104,93,89.42,Non-salvageable
classTwo,math,7.0,7,108,78,72.22,Non-salvageable
